,Consum.Fruta,Salud,Numero_rel
245,75.0,Very Good,0.42857142857142855
246,76.0,Excellent,0.5
247,76.0,Very Good,0.5
248,80.0,Excellent,0.15730337078651685
249,80.0,Fair,0.14606741573033707
250,80.0,Good,0.2247191011235955
251,80.0,Poor,0.033707865168539325
252,80.0,Very Good,0.43820224719101125
253,84.0,Excellent,0.2727272727272727
254,84.0,Fair,0.13636363636363635
255,84.0,Good,0.22727272727272727
256,84.0,Very Good,0.36363636363636365
257,85.0,Very Good,1.0
258,88.0,Excellent,0.1111111111111111
259,88.0,Fair,0.1111111111111111
260,88.0,Good,0.5555555555555556
261,88.0,Very Good,0.2222222222222222
262,90.0,Excellent,0.2429528580913865
263,90.0,Fair,0.09452526106114566
264,90.0,Good,0.26927023601134786
265,90.0,Poor,0.031085893643991065
266,90.0,Very Good,0.3621657511921289
267,92.0,Good,0.6666666666666666
268,92.0,Poor,0.3333333333333333
269,96.0,Excellent,0.038461538461538464
270,96.0,Fair,0.19230769230769232
271,96.0,Good,0.34615384615384615
272,96.0,Poor,0.038461538461538464
273,96.0,Very Good,0.38461538461538464
274,97.0,Excellent,1.0
275,98.0,Very Good,1.0
276,99.0,Excellent,0.2613065326633166
277,99.0,Fair,0.11557788944723618
278,99.0,Good,0.271356783919598
279,99.0,Poor,0.04522613065326633
280,99.0,Very Good,0.3065326633165829
281,100.0,Excellent,0.2857142857142857
282,100.0,Fair,0.07142857142857142
283,100.0,Good,0.2857142857142857
284,100.0,Very Good,0.35714285714285715
285,104.0,Poor,1.0
286,108.0,Good,1.0
287,112.0,Excellent,0.3333333333333333
288,112.0,Good,0.3333333333333333
289,112.0,Very Good,0.3333333333333333
290,116.0,Excellent,1.0
291,120.0,Excellent,0.24413748795374238
292,120.0,Fair,0.09219402505621586
293,120.0,Good,0.2663026019916479
294,120.0,Poor,0.032444587214905236
295,120.0,Very Good,0.3649212977834886
