,Procesados,Salud,Numero_rel
193,56.0,Excellent,0.2857142857142857
194,56.0,Fair,0.14285714285714285
195,56.0,Good,0.21428571428571427
196,56.0,Poor,0.14285714285714285
197,56.0,Very Good,0.21428571428571427
198,60.0,Excellent,0.1922365988909427
199,60.0,Fair,0.12292051756007394
200,60.0,Good,0.32532347504621073
201,60.0,Poor,0.05083179297597042
202,60.0,Very Good,0.30868761552680224
203,64.0,Excellent,0.5
204,64.0,Very Good,0.5
205,68.0,Excellent,0.3333333333333333
206,68.0,Good,0.6666666666666666
207,72.0,Good,1.0
208,76.0,Poor,1.0
209,80.0,Excellent,0.14285714285714285
210,80.0,Fair,0.14285714285714285
211,80.0,Good,0.2857142857142857
212,80.0,Poor,0.047619047619047616
213,80.0,Very Good,0.38095238095238093
214,84.0,Excellent,0.3333333333333333
215,84.0,Good,0.6666666666666666
216,88.0,Excellent,0.3333333333333333
217,88.0,Fair,0.3333333333333333
218,88.0,Good,0.3333333333333333
219,90.0,Excellent,0.1822125813449024
220,90.0,Fair,0.14967462039045554
221,90.0,Good,0.27765726681127983
222,90.0,Poor,0.04772234273318872
223,90.0,Very Good,0.34273318872017355
224,92.0,Good,0.3333333333333333
225,92.0,Very Good,0.6666666666666666
226,95.0,Good,1.0
227,96.0,Fair,0.375
228,96.0,Good,0.375
229,96.0,Very Good,0.25
230,97.0,Poor,1.0
231,98.0,Good,1.0
232,99.0,Excellent,0.27906976744186046
233,99.0,Fair,0.09302325581395349
234,99.0,Good,0.27906976744186046
235,99.0,Poor,0.06976744186046512
236,99.0,Very Good,0.27906976744186046
237,100.0,Excellent,0.5
238,100.0,Very Good,0.5
239,112.0,Very Good,1.0
240,120.0,Excellent,0.17560975609756097
241,120.0,Fair,0.12195121951219512
242,120.0,Good,0.33658536585365856
243,120.0,Poor,0.03902439024390244
244,120.0,Very Good,0.32682926829268294
245,124.0,Very Good,1.0
246,128.0,Fair,0.5
247,128.0,Very Good,0.5
